,education_id,user_id,is_bad_user_v1,is_bad_user_v2,is_platform_user,uri,campus,startdate,enddate,degree,degree_level,field,sequenceno,degree_raw,field_raw,campus_cleaned,university_priname_usa,university_priname_world,university_priname,university_name,universityurl,universityuri,location_country,university_location,campus_country_v1,university_country,world_rank,us_rank,rsid,school_name,parent_rsid,parent_school_name,school_prestige,description
16,1824237146288907442,917279342,False,False,False,linkedin.com/in/yehdega-tedros,University of West London,2012-01-01,2013-01-01,Master,4,Business,1,Master of International Business Management,Sustainable Banking,university of west london,,,University of West London,University of West London,,,United Kingdom,"London, Greater London",United Kingdom,United Kingdom,,,-77510.0,university of west london,-77510.0,university of west london,-0.433526,
17,-798045408949539150,721760061,False,False,False,linkedin.com/in/pramani,,2001-01-01,2005-01-31,empty,0,empty,2,,,,,,,,,,,,,,,,,,,,,
18,-2607374645186655591,266726192,False,False,False,linkedin.com/in/barkha-patel,The University of Texas at Austin,2017-01-01,2019-01-31,empty,0,empty,2,,,the university of texas at austin,University of Texas at Austin,University of Texas at Austin,The University of Texas Austin,The University of Texas Austin,,,United States,"Austin, tx",United States,,44.0,61.0,-744165.0,the university of texas at austin,-744165.0,the university of texas at austin,0.967126,
19,8708927593570147758,550898514,False,False,False,linkedin.com/in/janabeiswenger,"University of California, Berkeley - Walter A. Haas School of Business",,,MBA,5,Business,2,Master of Business Administration (MBA),"Strategy, Analytics, Marketing, Technology",university of california berkeley walter a haas school of business,,,University of California Berkeley Haas School of Business,University of California Berkeley Haas School of Business,https://www.linkedin.com/school/berkeley-haas/,linkedin.com/school/berkeley-haas,,,,,,,-922840.0,university of california berkeley haas school of business,-922326.0,university of california berkeley,,
20,3095375164190219037,99793241,False,False,False,linkedin.com/in/r%C3%B3n%C3%A1n-connolly-b4009651,Technological University Dublin,2017-01-01,2020-01-31,Bachelor,3,Engineering,2,Bachelor's degree,Computer Science,technological university dublin,,Technological University Dublin,Technological University Dublin,Technological University Dublin,,,Ireland,"Dublin 7, Dublin",Ireland,Ireland,973.0,,-6569165.0,technological university dublin,-6569165.0,technological university dublin,0.86522,
21,5023388961324164221,99019305,False,False,False,linkedin.com/in/neel-rakholia,The Galaxy School,2009-01-01,2012-01-31,empty,0,empty,1,,,the galaxy school,,,,the galaxy school,,,,,,,,,,,,,,"Represented the school at World Robot Olympiad--2010 in Manila, Philippines."
22,3146020657280603495,370043039,False,False,False,linkedin.com/in/farrahzhang,Rensselaer Polytechnic Institute,,,Master,4,Engineering,3,Master of Science,Financial Engineering & Risk Analysis,rensselaer polytechnic institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,https://www.linkedin.com/school/rensselaer-polytechnic-institute/,linkedin.com/school/rensselaer-polytechnic-institute,United States,"Troy, NY",United States,United States,574.0,95.0,-1170209.0,rensselaer polytechnic institute,-1170209.0,rensselaer polytechnic institute,0.94161,
23,6566550762257549493,22448658,False,False,False,linkedin.com/in/ruoyunzheng,Caltech,2017-01-01,2021-01-31,empty,0,empty,1,,,caltech,California Institute of Technology,California Institute of Technology,California Institute of Technology,California Institute of Technology,,,,,United States,United States,4.0,7.0,-364322.0,caltech,-364322.0,california institute of technology,0.980534,
24,7177292837596963145,224860791,False,False,False,linkedin.com/in/ryan-murase,"University of California, San Diego",2016-01-01,2020-01-31,Bachelor,3,Engineering,2,Bachelor’s Degree,Computer Science,university of california san diego,"University of California, San Diego","University of California, San Diego",UC San Diego Extension,UC San Diego Extension,https://www.linkedin.com/school/free-code-camp/,linkedin.com/school/free-code-camp,,,,,33.0,39.0,-160091.0,uc san diego,-160091.0,university of california san diego,0.964848,
25,5350744269841945214,558506085,False,False,False,linkedin.com/in/gabriel-polsky-098b4257,Cornell University,2012-01-01,2016-01-01,Bachelor,3,Business,2,BS,Applied Economics and Management,cornell university,Cornell University,Cornell University,Cornell University,Cornell University,https://www.linkedin.com/school/cornell-university/,linkedin.com/school/cornell-university,United States,"Chicago, Illinois",United States,United States,19.0,9.0,-743706.0,cornell university,-743706.0,cornell university,0.964324,Activities and Societies: Delta Sigma Pi - Professional Business Fraternity
26,-2602823573502205341,149025200,False,False,False,linkedin.com/in/katya-binello,UC Berkeley Extension,,,empty,0,empty,1,,,uc berkeley extension,,,University of California Berkeley,University of California Berkeley,,,,,United States,,,,-354014.0,uc berkeley extension,-922326.0,university of california berkeley,,
27,852507940385138463,211683754,False,False,False,linkedin.com/in/hanna-metaferia,,2006-01-01,2010-01-31,empty,0,empty,1,,,,,,,,,,,,,,,,,,,,,
28,-3058687494343738476,997440490,False,False,False,linkedin.com/in/noor-writocracy%F0%9F%8E%97%EF%B8%8F-76b98b223,"Quaid-i-Azam University, Islamabad",2020-01-01,2023-01-01,empty,0,Engineering,2,Electronics Engineering,English Language and Literature/Letters and Computer science,quaid i azam university islamabad,,,,quaid i azam university islamabad,https://www.linkedin.com/school/quaid-i-azam-university-islamabad/,linkedin.com/school/quaid-i-azam-university-islamabad,,,Pakistan,,,,-114871.0,quaid i azam university islamabad,-114871.0,quaid i azam university,0.945342,
29,-4223107363415191439,93382114,False,False,False,linkedin.com/in/bellakazwell,Carnegie Mellon,2001-01-01,2004-01-01,Bachelor,3,Engineering,1,BS,Computer Science,carnegie mellon,,,Carnegie Mellon University,Carnegie Mellon University,,,,,,United States,,,-22143844.0,carnegie mellon university,-22143844.0,carnegie mellon university,0.972752,
30,-926171032165158863,302725742,False,False,False,linkedin.com/in/michel-simon-gabriel-ndjib-oum-17346071,UNIVERSITE DE DOUALA,2011-01-01,2012-01-01,Master,4,Marketing,1,Master 2 (M2),Marketing,universite de douala,,,Université de Douala,Université de Douala,,,,,,Cameroon,,,,,,,,
31,8330646284032537769,551368629,False,False,False,linkedin.com/in/snchintapalli,Illinois Institute of Technology,2003-01-01,2005-01-01,Master,4,Marketing,2,Master of Science Marketing Communications,,illinois institute of technology,Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology,,,United States,"Chicago, Illinois",United States,United States,312.0,118.0,-838160.0,illinois institute of technology,-838160.0,illinois institute of technology,0.955984,
32,2690235998026577973,126975046,False,False,False,linkedin.com/in/ketaki-koranne-0551327b,Santa Clara University - Leavey School of Business,2014-01-01,2016-01-31,Master,4,Business,2,Master's Degree,"Management Information Systems, General",santa clara university leavey school of business,,,,santa clara university leavey school of business,,,,,United States,,,,-1028242.0,santa clara university leavey school of business,-1131584.0,santa clara university,,
33,-4265591229900369275,430693236,False,False,False,linkedin.com/in/varunpatro,National University of Singapore,2014-01-01,2018-01-31,empty,0,empty,3,,,national university of singapore,,National University of Singapore,National University of Singapore,National University of Singapore,,,Singapore,Singapore,Singapore,Singapore,25.0,,-852725.0,national university of singapore,-852725.0,national university of singapore,0.970184,
34,-5259974962199312653,675389013,False,False,False,linkedin.com/in/elsierichards,California Polytechnic State University-San Luis Obispo,2017-01-01,2020-01-31,empty,0,empty,2,,,california polytechnic state university san luis obispo,"California Polytechnic State University, San Luis Obispo",,California Polytechnic State University San Luis Obispo,California Polytechnic State University San Luis Obispo,,,United States,"San Luis Obispo, ca",United States,,,202.0,-292977.0,california polytechnic state university san luis obispo,-292977.0,california polytechnic state university san luis obispo,-0.657874,
35,-1615465402328118234,132243616,False,False,False,linkedin.com/in/lihua-l-94514b6b,University of Chicago,,,empty,0,empty,2,Master's degree,Statistics,university of chicago,The University of Chicago,The University of Chicago,The University of Chicago Booth School of Business,The University of Chicago Booth School of Business,,,United States,"Chicago, IL",United States,,10.0,14.0,-1125197.0,university of chicago,-1125197.0,university of chicago,0.971856,
36,5965552582605503676,394738075,False,False,False,linkedin.com/in/tony3827,,2009-01-01,2013-01-31,empty,0,empty,2,,,,,,,,,,,,,,,,,,,,,
37,6318138904012459835,386805310,False,False,False,linkedin.com/in/david-inglis-a8623138,California Institute of Technology,2013-01-01,2017-01-01,empty,0,empty,2,Bachelor of Science - BS,Computer Science,california institute of technology,California Institute of Technology,California Institute of Technology,California Institute of Technology,California Institute of Technology,https://www.linkedin.com/school/california-institute-of-technology/,linkedin.com/school/california-institute-of-technology,,,,United States,4.0,7.0,-364322.0,caltech,-364322.0,california institute of technology,0.980534,
38,-6376305908877085186,443085557,False,False,False,linkedin.com/in/sheevanazhandhoskins,,2002-01-01,2006-01-31,empty,0,empty,1,,,,,,,,,,,,,,,,,,,,,Minors: Psychology; Wine & Viticulture
39,2081345764004040333,97462773,False,False,False,linkedin.com/in/warcos,Escola Municipal d'Art,2000-01-01,2004-01-01,empty,0,Engineering,2,Engineer's degree,Graphic Design,escola municipal d art,,,,escola municipal d art,,,,,,,,,,,,,,
40,-212115913920735231,646736394,False,False,False,linkedin.com/in/hirashini,Stanford University,,,empty,0,Education,1,Continuing Education,,stanford university,Stanford University,Stanford University,University of Waterloo,University of Waterloo,https://www.linkedin.com/school/uwaterloo/,linkedin.com/school/uwaterloo,United States,"Stanford, CA",United States,Canada,2.0,4.0,-237244.0,stanford university,-237244.0,stanford university,0.972616,
41,7831975803395221675,314401708,False,False,False,linkedin.com/in/alexander-belz,The Wharton School,2021-01-01,2021-01-31,empty,0,Business,2,Wharton University of Pennsylvania / Professional Certificate in Strategic Management (online),,the wharton school,,,The Wharton School,The Wharton School,,,,,United States,,,,-147955.0,the wharton school,-922207.0,university of pennsylvania,,This professional certification program from Wharton University includes three courses to build and reshape the strategic positioning of companies and align corporate strategies with business initiatives. -Business Strategy from Wharton -Connected Strategy -Strategic Management Capstone
42,6456791701744130665,1007383788,False,False,False,linkedin.com/in/patrick-gilroy-968637222,LCETB,2016-01-01,2017-01-01,empty,0,empty,1,FETAC Level 4,I.T.,lcetb,,,,lcetb,,,,,,,,,,,,,,"Computer Literacy Level 4
Databasing Level 4
Spreadsheet Management Level 4
Word Processing Level 4
Online Essentials Level 4
IT Security"
43,287222813806680540,11584475,False,False,False,linkedin.com/in/clarktoombs,Grambling State University,,,Bachelor,3,Business,2,Bachelor of Science,Business Management,grambling state university,,,Grambling State University,Grambling State University,,,United States,"Grambling, la",United States,United States,,,-1009956.0,grambling state university,-1009956.0,grambling state university,-0.819892,
44,-5085936592509683152,364580243,False,False,False,linkedin.com/in/amey-mankar,Pune University,2004-01-01,2007-01-01,Bachelor,3,Engineering,1,Bachelor of Engineering,Computer Engineering,pune university,,Savitribai Phule Pune University,College of Engineering Pune,College of Engineering Pune,,,,,,,771.0,,-275367.0,savitribai phule pune university,-275367.0,,0.877272,
45,-2563250798634213779,704007518,False,False,False,linkedin.com/in/karen-russell-3a2761215,Brandeis University,,,Bachelor,3,Business,1,Bachelor of Business Administration - BBA,Operations Management and Supervision,brandeis university,Brandeis University,Brandeis University,Brandeis University,Brandeis University,,linkedin.com/school/brandeis-university/,United States,"Waltham, MA",United States,United States,207.0,114.0,-244352.0,brandeis university,-244352.0,brandeis university,0.959748,
46,-6352302026269863555,358556927,False,False,False,linkedin.com/in/lucyhe999,Michigan State University,,,Master,4,empty,1,Master’s Degree,,michigan state university,Michigan State University,Michigan State University,Michigan State University,Michigan State University,https://www.linkedin.com/school/michigan-state-university/,linkedin.com/school/michigan-state-university,United States,"East Lansing, MI",United States,United States,105.0,82.0,-674319.0,michigan state university,-674319.0,michigan state university,0.958506,
47,-6607827546186450195,670825484,False,False,False,linkedin.com/in/ksaballus,Rosary High School,2003-01-01,2007-01-01,empty,0,empty,1,,,rosary high school,,,,rosary high school,,,,,,,,,-23907874.0,earthinators climate school,-23907874.0,,-0.860984,
48,-2812341945921106391,226986369,False,False,False,linkedin.com/in/tala-khalaf-7b2b8431,Sage Hill School,2007-01-01,2011-01-01,High School,1,empty,1,High School,Liberal Arts,sage hill school,,,,sage hill school,,,,,United States,,,,-717176.0,sage hill school,-717176.0,,0.311738,
49,2085184887903253906,329861100,False,False,False,linkedin.com/in/venkatvidyasagar,Willamette University - Atkinson Graduate School of Management,,,MBA,5,Business,1,MBA,Business Anlytics and Strategy,willamette university atkinson graduate school of management,,,,willamette university atkinson graduate school of management,https://www.linkedin.com/school/willamette-university-mba/,linkedin.com/school/willamette-university-mba,,,,,,,-7160092.0,willamette university mba,-7984221.0,willamette university,,
50,-6195620032157783931,2063159327,False,False,False,linkedin.com/in/rachelprideaux,El Camino College,2003-01-01,2008-01-31,empty,0,empty,3,AA,Liberal Studies,el camino college,,,,el camino college,,,,,United States,,,,-774383.0,el camino college,-774383.0,el camino community college district,-0.655112,
51,-8526495904818961641,874408020,False,False,False,linkedin.com/in/james-sigur%C3%B0arson-b1a4047a,Tækniskólinn,,,Associate,2,Engineering,2,Associate's degree,Computer Science,tækniskólinn,,,Háskóli Íslands,Háskóli Íslands,,,,,,Iceland,,,,,,,,
52,2879354068261617293,679777470,False,False,False,linkedin.com/in/dana-barrett-53830616,Princeton University,,,Bachelor,3,Engineering,1,Bachelor of Science - BS,Chemical Engineering,princeton university,Princeton University,Princeton University,Princeton University,Princeton University,https://www.linkedin.com/school/princeton-university/,linkedin.com/school/princeton-university,United States,"Princeton, NJ",United States,United States,9.0,8.0,-220229.0,princeton university,-220229.0,princeton university,0.976998,
53,-7194697422514564248,527343385,False,False,False,linkedin.com/in/eden-mazzola-38555288,Sonoma State University,2009-01-01,2013-01-01,Bachelor,3,Chemistry,1,Bachelors,Chemistry,sonoma state university,Sonoma State University,,Sonoma State University,Sonoma State University,,,United States,"Rohnert Park, ca",United States,United States,,588.0,-261415.0,sonoma state university,-261415.0,sonoma state university,-0.754256,
54,8769425093931408125,629611468,False,False,False,linkedin.com/in/susan-collier-thomakos,The Head-Royce School,,,empty,0,empty,2,,,the head royce school,,,,the head royce school,https://www.linkedin.com/school/uc-berkeley/,linkedin.com/school/uc-berkeley,,,,,,,,,,,,
55,4907026241117658684,578406683,False,False,False,linkedin.com/in/anuta-mukherjee,,2012-01-01,2016-01-31,empty,0,empty,1,,,,,,,,,,,,,,,,,,,,,
56,7242275526283306216,430693236,False,False,False,linkedin.com/in/varunpatro,Meridian School,2001-01-01,2009-01-31,empty,0,empty,1,,,meridian school,,,,meridian school,,,,,United States,,,,-420479.0,meridian school,-420479.0,,-0.444392,
57,4333501404861991687,316258791,False,False,False,linkedin.com/in/william-mitchell-693b8a28,Bow High School,2004-01-01,2008-01-01,High School,1,empty,1,,High School Diploma,bow high school,,,,bow high school,,,,,United States,,,,-2437249.0,bow high school,-2437249.0,,-0.588552,
58,8653368255399539969,2000600079,False,False,False,linkedin.com/in/angelina-lue,,2019-01-01,2020-01-31,empty,0,empty,1,,,,,,,,,,,,,,,,,,,,,
59,5124595285082435602,454175937,False,False,False,linkedin.com/in/ailbhe-moynihan-585b52106,UCD Michael Smurfit Graduate Business School,,,Master,4,Business,2,MSc,Biotechnology and Business,ucd michael smurfit graduate business school,,,University College Dublin,University College Dublin,https://www.linkedin.com/school/michael-smurfit-graduate-school-of-business-ucd/,linkedin.com/school/michael-smurfit-graduate-school-of-business-ucd,,,Ireland,Ireland,,,-734996.0,ucd michael smurfit graduate business school,-734996.0,,0.28884,
60,4125021239085345351,2003388596,False,False,False,linkedin.com/in/souleymanou-bouba-055a43179,Université de ngaoundere,2010-01-01,2012-01-31,empty,0,empty,1,Bac + 2,Maketing commerce vente,université de ngaoundere,,,,université de ngaoundere,,,,,,,,,,,,,,
61,-1089476253044458360,309372100,False,False,False,linkedin.com/in/lamaralayoubi,The George Washington University School of Business,,,empty,0,empty,2,,,the george washington university school of business,,,,the george washington university school of business,,,,,United States,,,,-817726.0,the george washington university school of business,-1418153.0,george washington university,,
62,7067224032559689178,665814585,False,False,False,linkedin.com/in/pete-greene-67429085,University of San Diego,2012-01-01,2016-01-01,Bachelor,3,Finance,2,Bachelor of Accountancy,Accounting and Finance,university of san diego,University of San Diego,,University of San Diego,University of San Diego,,linkedin.com/school/university-of-san-diego/,United States,"San Diego, ca",United States,United States,,156.0,-1362229.0,university of san diego,-1362229.0,university of san diego,-0.360226,
63,619273726640615970,874984616,False,False,False,linkedin.com/in/jiaxuan-zhao-crystal,Harvard University,2018-01-01,2020-01-31,empty,0,empty,2,,,harvard university,Harvard University,Harvard University,Harvard University,Harvard University,https://www.linkedin.com/school/harvard-university/,linkedin.com/school/harvard-university,United States,"Cambridge, Massachusetts",United States,United States,3.0,1.0,-629335.0,harvard university,-629335.0,harvard university,0.97032,
64,4104320922392609356,27188994,False,False,False,linkedin.com/in/kishan-kukkala-214b64173,Concordia University-St. Paul,2017-01-01,2017-01-01,MBA,5,Business,2,masters,Business Administration and Management,concordia university st paul,,,,concordia university st paul,,,,,United States,,,,-1125718.0,concordia university st paul,-1125718.0,concordia university st paul,-0.829494,Activities and Societies: cricket
65,-6928391031562248676,592326379,False,False,False,linkedin.com/in/anna-s-8640b2204,Gesamtverband für Suchthilfe,2017-01-01,2020-01-31,empty,0,empty,1,Addiction Therapist - Behavioral Therapy,,gesamtverband für suchthilfe,,,,gesamtverband für suchthilfe,,,,,,,,,,,,,,
66,-5877627082632860365,428759055,False,False,False,linkedin.com/in/brendan-riordan-ab108761,Università degli Studi di Padova,2011-01-01,2012-01-01,empty,0,empty,1,Erasmus Exchange Student,,università degli studi di padova,,,Università degli Studi di Padova,Università degli Studi di Padova,,,Italy,"Padova, Padova",Italy,Italy,,,-250318.0,università degli studi di padova,-250318.0,università degli studi di padova,0.97191,
67,-7915322315146903746,283692623,False,False,False,linkedin.com/in/claudia-scheinecker,Lingnan University Hongkong,,,Bachelor,3,Business,2,Bachelor's Degree,International Business,lingnan university hongkong,,,,lingnan university hongkong,,,,,,,,,-849364.0,lingnan university,-849364.0,lingnan university,-0.404146,
68,5500927173361805559,477624469,False,False,False,linkedin.com/in/jahi-davis-135554182,Oakland Technical High School,2010-01-01,2014-01-31,empty,0,empty,1,,,oakland technical high school,,,,oakland technical high school,https://www.linkedin.com/school/year-up/,linkedin.com/school/year-up,,,United States,,,,-664659.0,oakland technical high school,-664659.0,,-0.538404,
69,1480503554560242589,137278031,False,False,False,linkedin.com/in/noelleeiffe,National College of Ireland,2015-01-01,2016-01-31,Master,4,Business,2,Master’s Degree,Human Resource Management,national college of ireland,,,National College of Ireland,National College of Ireland,,,Ireland,"Dublin, leinster",Ireland,Ireland,,,-908155.0,national college of ireland,-908155.0,national college of ireland,-0.353434,
70,2413638574737785197,414937684,False,False,False,linkedin.com/in/erikwihlborg,1th Amphibious Regiment,2007-01-01,2008-01-31,empty,0,empty,1,,,1th amphibious regiment,,,,1th amphibious regiment,,,,,,,,,,,,,,
71,-819382346677208134,141160989,False,False,False,linkedin.com/in/sphear,Colby College,1989-01-01,1993-01-01,Bachelor,3,empty,2,BA,English Lit German Lit,colby college,,,Colby College,Colby College,https://www.linkedin.com/school/colby-college/,linkedin.com/school/colby-college,United States,"Waterville, Maine",United States,United States,,,-459036.0,colby college,-459036.0,colby college,-0.339282,"Activities and Societies: Radio Station WMHB Music Director 1992-93, General Manager 1993
              



        Majored in English, Minored in German
DJ at Radio Station WMHB 1989-93, 
Graduated with Honors in English
Semester abroad in Lubeck Germany Spring 1990"
72,-9098043881198365069,267506047,False,False,False,linkedin.com/in/liujessica,The University of Texas at Austin - The Red McCombs School of Business,,,empty,0,empty,2,,,the university of texas at austin the red mccombs school of business,,,,the university of texas at austin the red mccombs school of business,,,,,,,,,-365643.0,texas mccombs school of business,-744165.0,the university of texas at austin,,
73,-5959164529204586214,285190211,False,False,False,linkedin.com/in/patrick-stover-04417a96,University of Colorado Boulder,1999-01-01,2004-01-01,empty,0,empty,1,,,university of colorado boulder,University of Colorado Boulder,University of Colorado Boulder,University of Colorado Boulder,University of Colorado Boulder,https://www.linkedin.com/school/cuboulder/,linkedin.com/school/cuboulder,United States,"Boulder, Colorado",United States,United States,132.0,173.0,-587180.0,university of colorado boulder,-587180.0,university of colorado boulder,0.962034,
74,4774587799829270948,547576874,False,False,False,linkedin.com/in/madisonlaval,Gonzaga University,2016-01-01,2020-01-01,Bachelor,3,empty,1,Bachelor of Arts - BA,"Communication Studies, Promotions, and Leadership",gonzaga university,Gonzaga University,,Gonzaga University,Gonzaga University,https://www.linkedin.com/school/gonzaga-university/,linkedin.com/school/gonzaga-university,United States,"Spokane, WA",United States,United States,,211.0,-426660.0,gonzaga university,-426660.0,gonzaga university,-0.450338,Activities and Societies: Comprehensive Leadership Program and iZag Radio Show Host
75,-483638082288753969,642722244,False,False,False,linkedin.com/in/john-bastin-11055a210,Bethany Lutheran College,,,Bachelor,3,Engineering,1,Bachelor's degree,Computer Software Engineering,bethany lutheran college,,,Bethany Lutheran College,Bethany Lutheran College,https://www.linkedin.com/school/bethany-lutheran-college/,linkedin.com/school/bethany-lutheran-college,United States,"Mankato, MN",United States,United States,,,-643293.0,bethany lutheran college,-643293.0,bethany lutheran college,-0.87108,
76,6779457962762153479,917279342,False,False,False,linkedin.com/in/yehdega-tedros,University of Kassel,,,Bachelor,3,empty,3,Bachelor's degree,Poltical Science with focus on Sustainablity and International Relations,university of kassel,,,Universität Kassel,Universität Kassel,,,,,Germany,Germany,,,-27935.0,university of kassel,-27935.0,universität kassel,-0.419516,
77,1014560437849474358,2003611901,False,False,False,linkedin.com/in/emma-megan-230872241,Harvard University,2019-01-01,2023-01-31,Associate,2,empty,1,Associate's degree,Teaching English as a Second or Foreign Language/ESL Language Instructor,harvard university,Harvard University,Harvard University,Harvard University,Harvard University,,,United States,"Cambridge, Massachusetts",United States,United States,3.0,1.0,-629335.0,harvard university,-629335.0,harvard university,0.97032,
